* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
bažistit	lypsää (vähän& myös fig.)& puristaa (mehua tms.& vähän)& vääntää (vettä tms. esim. pesurievusta)& lypsää (vähän& myös fig.)& puristaa (mehua tms.& vähän)& vääntää (vettä tms. esim. pesurievusta)& lypsää (vähän& myös fig.)& puristaa (mehua tms.& vähän)& vääntää (vettä tms. esim. pesurievusta)& lypsää (vähän& myös fig.)& puristaa (mehua tms.& vähän)& vääntää (vettä tms. esim. pesurievusta)& lypsää (vähän& myös fig.)& puristaa (mehua tms.& vähän)& vääntää (vettä tms. esim. pesurievusta)	V	+?
beađadit	puhkoa	V	V
beađahit	puhkaisuttaa& soveltua puhkaistavaksi& puhkaisuttaa& soveltua puhkaistavaksi	V	+?
beađbi	lapaluu	N	N
beađđat	puhkaista& nirhaista& puhkaista& nirhaista	V	+?
beagašit	konttailla	V	V
beaggin	maine	N	N
beahcebáhcat	männynkäpy	N	N
beahkáladdat	konttailla (usein tai useista& nopeasti)& lähteä konttaamaan (usein tai useista)& konttailla (usein tai useista& nopeasti)& lähteä konttaamaan (usein tai useista)& konttailla (usein tai useista& nopeasti)& lähteä konttaamaan (usein tai useista)	V	+?
beahkilit	kontata (nopeasti)& lähteä konttaamaan& kontata (nopeasti)& lähteä konttaamaan	V	+?
beahtestit	pettää (vähän)	V	+?
beahttašuvvat	pettyä	V	V
beahttit	pettää	V	V
beahttu	petos	N	N
beahtu	peto	N	N
beahtus	petos	N	N
beaika	pyökki	N	N
beaisku	tuholainen	N	N
beaitáladdat	peitellä (usein tai useita asioita)	V	+?
beaitalit	peitellä	V	V
beaivásaš	päivän vanha& -päiväinen& päivän vanha& -päiväinen	A	+?
beaivvádahttit	tulla aurinkoinen sää	V	+?
beaivváhala	päivälleen	Adv	Adv
beaivváhuvvat	joutua päivän(valon) yllättämäksi	V	+?
beaivváiduvvat	vaurastua& saada joutoaikaa& vaurastua& saada joutoaikaa	V	+?
beakkihit	kuulua (yllättäen)	V	+?
beakkohus	huhu	N	N
beakkuhit	kertoa (tosiasiana& usein tai useita asioita)& pyydellä& kertoa (tosiasiana& usein tai useita asioita)& pyydellä& kertoa (tosiasiana& usein tai useita asioita)& pyydellä	V	+?
beaktil	tehokas& ravitseva& tehokas& ravitseva	A	+?
beaktu	teho	N	N
bealaš	väliraha	N	N
bealátkeahtes	puolueeton	+?	+?
bealátkeahtesvuohta	puolueettomuus	N	N
bealátvuohta	puolueellisuus	N	N
bealbi	vesitatar	N	+?
bealgi	peukalo& isovarvas& peukalo& isovarvas	N	+?
bealjehisvuohta	kuurous& huonokuuloisuus& kuurous& huonokuuloisuus	N	+?
bealjehuvvat	kuuroutua& tulla huonokuuloiseksi& kuuroutua& tulla huonokuuloiseksi	V	+?
bealládat	puolue	N	N
beallelaš	puoliso	N	N
beallemas	pellava	N	N
bealljái	isokorvainen	+?	+?
bealljerokkan	vaaksiainen	N	N
beal-	puoli	+?	Pcle& N
bealušteaddji	puolustaja	N	N
beaŋká	(viettävä) pohja (sisävesissä)	N	+?
beantá	tukikeppi (esim. kukkaruukussa)	N	+?
beanttis	suora (ei vino tai vääntynyt)	A	+?
bearal	helmi	N	N
beara	päre	N	N
bearatgoddi	perhekunta	N	N
beargalat	paha henki& perkele (kirosana)& paha henki& perkele (kirosana)	N	+?
bearragoddi	perhekunta	N	N
bearrat	periä (maksu tms.)& sukeutua& periä (maksu tms.)& sukeutua	V	+?
bearri	perinnöllinen sairaus	N	+?
beasakeahttá	beasakeahtẹs: ripillä käymätön	+?	+?
beasihit	päästä (yhtäkkiä)	V	+?
beaskidahttit	kerityttää (esim. lampaita)& soveltua kerittäväksi& kerityttää (esim. lampaita)& soveltua kerittäväksi	V	+?
beaskká-	keritty	+?	A
beaškkehit	törmätä	V	V
beassanláhki	pääsy	N	N
beassanvuohta	pääsy (rel.)	N	+?
beassegatna	koivunkylkijäkälä	N	+?
beasseheapme	tuoheton& vähätuohinen& tuoheton& vähätuohinen	A	+?
beassi	pesä	N	N
beassi	tuohi	N	N
beastalit	päästellä irti& yrittää pelastaa& päästellä irti& yrittää pelastaa	V	+?
beatnatdaŋas	ruohokanukka	N	+?
beatnatgielddát	beatnatgieldá: katinlieko	+?	+?
beatnatjokŋa	ruohokanukan marja	N	+?
beatnatrávra	järviruoko& pallerokoiranheinä& järviruoko& pallerokoiranheinä	N	+?
beavdelii	lähemmäs pöytää	Adv	+?
beavkálas	hölösuinen	A	A
beavránit	lähteä liikkeelle säärevänä	V	+?
beavrruhit	liikuskella säärevänä	V	+?
beavttálmahttit	tehostaa	V	V
beavttálmuvvat	tehostua	V	V
beavvi	rakas ystävä	N	+?
beđoohtte	tasakertahirsi (päädyssä)	N	+?
befeštuvvat	jännittyä (psyk.)	V	+?
behkeš	kehräsluu	N	N
behttosat	(pl.) kirppa jne.	N	+?
beiset	petsata	V	V
beitot	jäädä saaliitta	V	+?
bejot	valkko	N	+?
belá	serkku	N	N
beldet	raivata (peltoa)	V	+?
Belgia	Belgia	N	N
belgialaš	belgialainen	+?	A& N
beljohallat	kuulostella	V	V
beljostallat	kuulostella	V	V
belko	(hakkuu)pölkky	N	+?
beloštus	puolustus	N	N
berošteaddji	kiinnostunut	A	A
beškkoš	pääskynen	N	N
bessodastit	varustaa mäystimellä	V	+?
bessodat	vitsas& mäystin& vitsas& mäystin	N	+?
beste	pesti(raha)	N	+?
bestet	pestata	V	V
betoŋga	betoni	N	N
bevnnot	suoraan (sanottuna)	Adv	+?
bibmui	ruokaisa	+?	A
biđggiideapmi	hajonta	N	N
biđihit	saada tai panna pitämään puolensa	V	+?
biđistuvvat	pystyä (vaivoin) pitämään puolensa	V	+?
bidjalannárri	täysi määrä	N	+?
bidjet	huutokauppa	N	N
biđuhit	kestitä (hyötymistarkoituksessa)	V	+?
biebman	biebmanluokti: ruokintakatos	N	+?
bieđgát	olla jssak hajallaan	V	+?
biehkanit	tulla punoittavaksi (rasituksesta)	V	+?
biehkan	piekana	N	N
biehtarasdilljá	atlasnikama	N	N
biehtárguhkká	siankärsämö	N	N
biehtárrássi	siankärsämö	N	N
biehttalus	kieltäymys& pidättäytyminen& kieltäymys& pidättäytyminen	N	+?
bieidni	kannas (ahkiossa)	N	+?
biekkus	tuulinen	A	A
bieksu	pieksu	N	N
biellán	kellokas	N	+?
biellohas	kellokas	N	+?
biellorássi	kissankello	N	N
biepmohas	kasvatti	N	N
bierdni	karhunpoika	N	N
bierffas	pörröinen	A	A
bierffát	bierfát: olla jssak pörröisenä	+?	+?
biertaluvvat	pelästyä	V	V
biestit	päästättää& laskea (housuihinsa)& päästättää& laskea (housuihinsa)	V	+?
biestta	pensas	N	N
bievvalastit	mestata	V	V
biffa	pihvi	N	N
bigán	äkkipikainen	N	A
bigget	rakentaa (taloa)	V	+?
bigget	ruveta tuulemaan	V	+?
biggoheapmi	ilmanvaihto	N	N
bihcebáhce	käpy	N	N
bihčut	piipittää	V	V
bihkahuvvat	bihkkaduvvat: tulla tervaiseksi	+?	+?
bihkaš	tervas	N	N
bihkkadit	tervata	V	V
bihkka	terva	N	N
bihpar	pippuri	N	N
biikái	piikikäs	A	+?
biika	piikki	N	N
biire	piiri	N	N
biktalit	lämmitellä	V	V
bilaterála	bilateraali (äänteestä)& kahdenkeskinen& bilateraali (äänteestä)& kahdenkeskinen	A	+?
bilbut	horjua	V	V
bilka	pilkki	N	N
bilket	pilkkiä	V	V
bilkideaddji	pilkkaaja	N	N
bilkidit	pilkata	V	V
bilku	pilkka	N	N
billár	tuholainen	N	N
billašupmi	turmelus	N	N
biltu	raisu vaadin tai tyttö	N	+?
bindda	heittiö& pinne& heittiö& pinne	N	+?
binddastit	pinkaista	V	V
bindut	pinkoa	V	V
biologa	biologi	N	N
biologalaš	biologinen	A	A
biotohpa	biotooppi	N	N
bipmi	piimä	N	N
biras	ympäröivä	N	A
bircut	heittää noppaa	V	+?
birgemuš	toimeentulo	N	N
birgenláhki	toimeentulo	N	N
birgui	lihakas	+?	+?
biro	piru	N	A& N
birrabotnjalus	kääntymys	N	N
birračuohpahus	ympärileikkaus	N	N
birračuohppat	ympärileikata	V	V
birračuoigi	tokan ympärihiihtäjä (petojen tai karanneiden porojen jälkiä etsivä)	N	+?
birradat	piiri	N	N
birrageavlái	ympyrää	Adv	+?
birranbeaivi	birrabeaivi: vuorokausi	N	+?
birrasat	(pl.) (lähi)ympäristö	+?	+?
bisma	piispa	N	N
bismárra	puntari	N	N
bismmáčoahkkin	piispantarkastus	N	N
bispa	piispa	N	N
biššanbáddi	kiinitysnuora kodan louteen päässä keskellä ja alhaalla	N	+?
bissehit	pysäyttää& lamata& saada ote (jstak)& pysäyttää& lamata& saada ote (jstak)& pysäyttää& lamata& saada ote (jstak)	V	+?
bistil	pitkäaikainen& pitkäikäinen (esineestä)& pitkäaikainen& pitkäikäinen (esineestä)	A	+?
bisttašit	riittää (pitkään)	V	+?
bisttiheapme	lyhytaikainen& riittämätön& lyhytaikainen& riittämätön	A	+?
bistu	kesto	N	N
Biŧon	Piitime	N	+?
bivaheapme	viluinen	A	A
bivastat	hiki	N	+?
bivastuhkes	hikoileva(inen)	+?	+?
bivdda	pyyntö	N	N
bivddestit	pyydystää (vähän)& pyytää (vähän)& pyydystää (vähän)& pyytää (vähän)	V	+?
bivddus	pyydys	N	N
bivdin-	bivdinvuohki: pyyntitapa	+?	+?
bivdinvuohki	pyyntitapa	N	+?
bivgi	ohra	N	N
bivnnuheapme	epäsuosittu	A	A
bivššut	ryhdikäs henkilö	N	+?
bivttastit	vaatettaa	V	V
bivttestit	lämmittää (vähän)	V	+?
bivvát	alkaa tarjeta	V	+?
bleahkahuvvat	tahraantua musteeseen	V	+?
bleahkka	muste	N	N
bleahkka	pelti	N	N
boaddit	kookas	A	+?
boaggulit	väännähyttää (auki tai ylös& esim.kansi)& väännähyttää (auki tai ylös& esim.kansi)	V	+?
boaggut	vääntää (auki tai ylös& esim. kansi)& vääntää (auki tai ylös& esim. kansi)	Adv|V	+?
Boahji	Pohjantähti	N	+?
boahkánastit	vyöttää (Raam.)	V	+?
boahkuhit	rokottaa	V	V
boahttevuohta	tulevaisuus	N	N
boahttil	yleensä hyvissä ajoin tuleva (esim. lehmä iltalypsylle)	A	+?
boaimmáš	piekana	N	N
boaisán	ryökäle (myös voimasana)	N	+?
boaisut	kalppia	V	V
boakkil	väärällä (sääristä)	Adv	+?
boakkuhit	panna köpöttelemään	V	+?
boalbut	kompuroida	V	V
boalčasit	nyrjähtää	V	V
boalččihit	linkata (jalasta)	V	+?
boalččil	kampuralla (jalasta)	Adv	+?
boalddáhat	(polttava) kipu	N	+?
boalddáldahttit	rynnistää	V	V
boalddašit	poltella	V	V
boaldevaš	polttava(inen)	A	+?
boalga	häpeäpilkku (ihmisestä)	N	+?
boalggahit	saattaa häpeään	V	+?
boallooaivi	kullero	N	N
boallorássi	kullero	N	N
boaluhit	napittaa	V	V
boalvár	kauppias	N	N
boanddaiduvvat	vaurastua	V	V
boandut	vaurastua	V	V
boaran	vanhus	N	N
boarášit	pitää liian tai kovin vanhana	V	+?
boardda	portaat	N	+?
boarisvuohta	vanhuus	N	N
boarka	äkkipikainen	A	A
boarkkasmit	tulla äkkipikaise(mma)ksi	+?	+?
boarkkasmuvvat	tulla äkkipikaise(mma)ksi	V	+?
boarskudit	nolata	V	V
boarstu	eteinen	N	A& N
boassa	hiirenpesä	N	N
boaššut	perempi (asumuksessa)	+?	+?
boastut	väärin	Adv	Adv
boatkanaddat	katkeilla	V	V
boatkkahas	hyönteinen	N	N
boatkun	katkominen	N	+?
boatkut	katkoa& pätkiä& katkoa& pätkiä	V	+?
boazuiduvvat	saada runsaasti poroja	V	+?
boccihit	puistaa itseään	V	+?
boddasaš	hallittavissa oleva	A	+?
bođđui	karikkoinen	+?	A
bodnjasit	vääntyä	V	V
bodnját	olla kierossa	V	+?
bođus	irrallinen& erillinen& irrallinen& erillinen	N	+?
bođus	teuraspala (muu kuin varsinainen lihapala)	N	+?
bogostallat	naureskella	V	V
bogostat	naurunaihe	N	N
bohčáladdat	lypseskellä (tarmokkaasti)	V	+?
bohccádat	putkilo	N	N
bohccejeagil	torvijäkälä	N	N
bohccosuoidni	järvikorte	N	+?
bohkat	porata	V	V
bohkosit	naurahtaa	V	V
bohrra	pölinä	N	N
bohtal	pullo	N	A& N
bohttehit	turvottaa	V	V
boibmoladdat	nokkia (tarmokkaasti)& nappailla (tarmokkaasti)& nokkia (tarmokkaasti)& nappailla (tarmokkaasti)	V	+?
boija	poiju	N	N
boikohtta	boikotti	N	N
boikohttet	boikotoida	V	V
boimmohat	nokkimispaikka	N	+?
boimmon	nokkija& näpistelijä& nokkija& näpistelijä	N	+?
bojá	miekkonen	N	N
boksa	säilykepurkki	N	N
boksen	nyrkkeily	N	N
bokset	nyrkkeillä	V	V
boktalit	herätellä	V	V
bokte	kautta	Po	Po
boktit	herättää	V	V
bolastit	ryöpsäyttää (sadekuurosta)	V	+?
boldejaš	polttiainen	N	N
bolfát	olla tuuheana (jssak)	V	+?
bolffagit	tuuhettua	V	V
bolffas	tuuhea	A	A
bolfi	tuuhea olio tai esine	N	+?
bollát	könöttää	V	V
bolot	nappula& rivi peräkkäin jamottuja ajoverkkoja& nappula& rivi peräkkäin jamottuja ajoverkkoja	N	+?
bolsttar	(pohjoissaamen itämurteissa:) patja& (länsimurteissa:) tyyny& (pohjoissaamen itämurteissa:) patja& (länsimurteissa:) tyyny	N	+?
boŋkor	pöykkyri	N	+?
bonjadit	väännellä& sotkeentua (köyteen tms.)& väännellä& sotkeentua (köyteen tms.)	V	+?
bonjahat	väänne (erit. vatsanväänne)& äkkikäännös& väänne (erit. vatsanväänne)& äkkikäännös	+?	+?
bonjahit	väännättää& soveltua väännettäväksi& väännättää& soveltua väännettäväksi	V	+?
bonus	punos	N	N
boras	syöpä	N	A& N
borastuhkes	ahne (syömään)	A	+?
borešvuohta	mässäily	N	N
boret	porata	V	V
borgádit	luoda karvansa	V	+?
borgáhit	tupruttaa	V	V
borgái	pyryinen	+?	A
borgalit	tuprauttaa (esim. lunta)	V	+?
borgár	kansalainen& porvari& kansalainen& porvari	N	+?
borgárlaš	porvarillinen	+?	A
borgárvuohta	kansalaisuus	N	N
borggadit	pyrytellä	V	V
borggas	(attr.) pyryinen	A	+?
borggastit	pyryttää (vähän)	V	+?
borjadat	purjetuuli	N	+?
borjánit	lähteä purjehtimaan	V	+?
borjat	purjetuuli	N	+?
borjjas	purje	N	N
borjjastallat	purjehtia (jatkuvasti)& lepattaa tuulessa& purjehtia (jatkuvasti)& lepattaa tuulessa	V	+?
borjjastit	purjehtia	V	V
borrái	särmikäs	+?	+?
borrot	tulla tai joutua syödyksi	+?	+?
boršui	kuohuva	+?	A& N
boršu	kuohu	N	N
borus	syötävä	N	A& N
bosádit	puhaltaa (äkkiä)	V	+?
bosan	tuuletin	N	+?
boska	väinönputki	N	N
bosodit	puhallella	V	V
boššohat	teurastuspaikka (kodan takana)	N	+?
bossu	(hetula)valas	N	+?
botehtos	peruna	N	N
botkestit	katkaista (nopeasti)& lohkaista (nopeasti)& katkaista (nopeasti)& lohkaista (nopeasti)	V	+?
botkkiidit	alkaa varista	V	+?
botkkodit	katkoa (useasta kohdasta)	V	+?
botkkon	katkaisin	N	N
botkkus	karike	N	+?
botnjalus	kääntymys	N	N
botnus	sakka	N	N
bovdehus	kutsu	N	N
bovdejupmi	kutsumus	N	N
bovden	kutsu	N	N
bovttašit	herätellä (varovasti)	V	+?
bovttáš	lunni	N	N
bovttihit	herätyttää	V	+?
bráhkka	parakki	N	N
breahtta	tarjotin	N	+?
brigáda	prikaati	N	N
brihttalaš	brittiläinen	A	A
brillat	(pl.) silmälasit	N	+?
bronsa	pronssi	N	N
brugga	laiturivarasto	N	+?
brutto	brutto	N	N
buđaldeaddji	harrastelija	N	N
buddáduvvat	velkaantua (leikill.)	V	+?
buđđá	kivespussi	N	N
buddásaš	-buddásaš (adj.) -puntainen (punta = n. 6 kg)	A	+?
buddet	ankkuroida (riipalla)& painottaa verkkoa& ankkuroida (riipalla)& painottaa verkkoa	V	+?
buddostat	jota yleensä kutsutaan liikanimillä	N	+?
buddu	riippa& paino (verkossa)& riippa& paino (verkossa)	N	+?
buđis	pudas	N	+?
budjeahtta	budjetti	N	N
buđodit	rakentaa patoja tai vähin erin yhtä patoa& tukkia (usein)& rakentaa patoja tai vähin erin yhtä patoa& tukkia (usein)	V	+?
buffalo	puhveli	N	N
buhkka	kakka	N	N
buhtásmit	puhdistua	+?	V
buhtástus	puhdistus	N	N
buhtisteapmi	puhdistus	N	N
buhtistit	puhdistaa	V	V
buhttásit	puhtaaksi	+?	+?
buiddodit	lihoa (jatkuvasti tai monista olioista)	V	+?
buidodat	lihavuus	N	N
buikočoarvi	piikkisarvi (porosta)	N	+?
buktu	tuonti	N	N
bulččihit	loiskahtaa (veteen)	V	+?
bulddagit	tulla turpeaksi	V	+?
buldugas	korppi	N	N
buldu	jolla on turpeat kasvot& kirveskalsu& jolla on turpeat kasvot& kirveskalsu	N	+?
buldut	tulla turpeaksi (kasvoiltaan)	V	+?
bulet	puolikko	N	+?
Bulgária	Bulgaria	N	N
bulgárialaš	bulgarialainen	N	A
buljagit	pullistua	V	V
buljardahttit	kurlata	V	V
buljas	pullottava	A	A
bulki	pulkka	N	N
bullái	pullottava	+?	A
bullas	pullottava	A	A
bullehit	sytyttää	V	V
bulle	(sonnin)mulli	N	+?
bulljái	pullottava	+?	A
bulljarakkis	kupla	N	N
bulljaras	kupla	N	N
bulži	jääkuori	N	+?
bumeránskka	omituisuus	N	N
bumma	puomi	N	N
bumpaloddi	suopöllö	N	N
bunčalit	polskauttaa	V	V
buncarakkis	ongelma	N	N
bunččihit	polskahtaa	V	V
bunjodit	kastaa (usein tai useita esineitä jssak)	V	+?
bunnu	häpykieli	N	N
bunžáhit	hotkia	V	V
bunžalit	hotkaista& naida napsauttaa& hotkaista& naida napsauttaa	V	+?
bunzzardit	nikartaa	V	+?
bunžžuhit	hotkia	V	V
buođga	nivus	N	+?
buođgát	pilkottaa	V	V
buođus	patoutuma	N	N
buoguiduvvat	ajettua	V	V
buohccivuohta	sairaalloisuus	N	N
buohcu	sairaus	N	N
buohcuvuohta	tauti& sairaus (terveyden vastakohtana)& tauti& sairaus (terveyden vastakohtana)	N	+?
buohtalastit	rinnastaa	V	V
buoibmat	kiinnittää ahkion liisteiden kärjet kaulasiteellä	V	+?
buoidda	kärppä	N	N
buoiddášit	pitää (liian) lihavana	V	+?
buoiddat	paksukainen	N	N
buoiddeheapme	rasvaton& vähärasvainen& rasvaton& vähärasvainen	A	+?
buoidudit	lihottaa	V	V
buoidut	lihoa	V	V
buokčagassii	sukelluksiin	Adv	Adv
buokčagasas	sukelluksissa	Adv	Adv
buokčat	sukeltaa	V	V
buolát	puola	N	N
buolbmágaš	pulmankilainen	N	+?
buolestit	palaa (vähän)	V	+?
buollahat	sytyke	N	+?
buolláhit	sytyttää	V	V
buollát	syttyä	V	V
buollilit	palaa (nopesti)	V	+?
buolli	palava	+?	A
buoloheapme	palamaton& huonosti palava& palamaton& huonosti palava	A	+?
buolohuvvat	tulla huonosti palavaksi	V	+?
buolvadat	sukupolvi	N	N
buolža	(poikittais)harju	N	+?
buonjus	kastike	N	+?
buonjustit	kastaa (vähän jssak)	V	+?
buorádat	hyvä sää	N	+?
buorádus	parannus	N	N
buorástahttalit	tervehtiä (useita)& tervehtiä toisiaan& tervehtiä (useita)& tervehtiä toisiaan	V	+?
buorat	päivää terve	Interj|N	+?
buorggár	upporikas	+?	+?
buorggos	kielletty	A	A
buorranaddat	hyväillä (jkta)	V	+?
buorranastit	hyväillä (jkta vähän)	V	+?
buorránastit	parantua (vähän)	V	+?
buorráneaddji	toipilas	N	N
buorrevuohta	hyvyys	N	N
buoruštit	kohdella hyvin& maanitella& kohdella hyvin& maanitella	V	+?
buoska	pieru& penska& pieru& penska	N	+?
buoskár	puoskari	N	N
buoskáruššat	puoskaroida	V	V
buoššudit	paaduttaa	V	V
buotnjomuš	kastike	N	+?
buotnjuladdat	kastella (jssak useita kertoja)	V	+?
buotnjulit	kastaa (nopeasti jssak)	V	+?
buotnjut	kastaa (jssak)	V	+?
buotveagalaš	kaikkivaltias	A	A& N
buovččadit	sukellella	V	V
buovjja	maitovalas	N	N
buovnnjagit	kärventyä (vaatteista tms.)	V	+?
buovnnjat	myyrä	N	N
buozadit	sairastella	V	V
buozaheaddji	sairaanhoitaja	N	N
buozan	sairastelija	N	+?
burgásit	purkautua& tulla puretuksi& purkautua& tulla puretuksi	V	+?
burgilit	purkaa (nopeasti)	V	+?
burgot	tulla puretuksi	+?	+?
burrodat	hyvyys	N	N
burrut	sonni	N	N
burskkihit	purskahtaa	V	V
burššas	turpea (kasvoistaan)	A	+?
busegáhttu	kissa	N	N
buškalit	sujauttaa	V	V
busket	pieraista	V	V
buškkas	soukka	A	A
buskolas	pierekelevä(inen)	+?	+?
bussái	verkkainen	+?	A
butká	(S) putka	N	+?
butnjat	kiehua hiljalleen	V	+?
buvda	kauppa	N	N
buvihit	kuristaa	V	V
buvttašit	tuoda (vähin erin)	V	+?
buvttestit	tuoda (nopeasti)	V	+?
buvvánaddat	kuristua (silloin tällöin)	V	+?
buvvedat	tylli	N	N
čabadat	pakkanen (leudon ilman jälkeen)	N	+?
čába	kaunis	+?	A
čábbe	kaunokainen	N	A& N
čábbodat	kauneus	N	N
čábbut	kaunistua	V	V
cábmáladdat	pieksää (muutamalla kovalla iskulla)	V	+?
čađaheapmi	kokemus	N	N
čađan	lävistäjä	N	N
cadjat	tuupata& tönäistä& siirtää (pelinappulaa)& tuupata& tönäistä& siirtää (pelinappulaa)& tuupata& tönäistä& siirtää (pelinappulaa)	V	+?
čadni	sitova	+?	A& N
čágadit	tulla toimeen (jkun kanssa)& tulla toimeen (keskenään)& tulla toimeen (jkun kanssa)& tulla toimeen (keskenään)	V	+?
čagaldahkes	helposti kutiava	A	+?
cagan	meriharakka	N	N
caggan-	cagganávnnas: vasta-aine	+?	+?
caggasan	estoinen	+?	A
caggaseapmi	esto	N	N
cahca	(kapea) kannas& poikkipuu (reen kopassa tai tavara-ahkiossa)& (kapea) kannas& poikkipuu (reen kopassa tai tavara-ahkiossa)	N	+?
čahca	sola (korkealla kahden vaaran välissä)& paju (reessä)& sola (korkealla kahden vaaran välissä)& paju (reessä)	N	+?
čáhccái	vetinen	A	A
čáhccet	vesittää& kostuttaa& vanuttaa& kastella (kukkia tms.)& vesittää& kostuttaa& vanuttaa& kastella (kukkia tms.)& vesittää& kostuttaa& vanuttaa& kastella (kukkia tms.)& vesittää& kostuttaa& vanuttaa& kastella (kukkia tms.)	V	+?
cáhcut	piirtää (viiva)	V	+?
cáhkastit	ähkäistä	V	V
cahkat	kyteä	V	V
cáhkit	pistää& pukea (päälleen)& työntää& työntyä& pistää& pukea (päälleen)& työntää& työntyä& pistää& pukea (päälleen)& työntää& työntyä& pistää& pukea (päälleen)& työntää& työntyä	V	+?
cahkkat	räikeä	A	A
cahkkát	syttyä	V	V
cahkkehus	sytytys	N	N
čahkket	poistaa jäähileet tai (lumi)paakut karvoituksesta	V	+?
čáhkkil	tilava	A	A
cahpat	selviytyä (juuri ja juuri jstak)	V	+?
cahppát	häämöttää	V	V
čáhput	musta eläin (tav. poro)	N	+?
čahraidit	räkättää (jatkuvasti)	V	+?
čahras	räkätys	N	N
čahrrat	räkättää	V	V
čaimmehit	naurahtaa	V	V
čájáhallan	esittely& näytteleminen& esittely& näytteleminen	N	+?
čájáhalli	näyttelijä	N	N
čájáhat	näyttämö& näyttö (tietokoneessa)& näyttämö& näyttö (tietokoneessa)	N	+?
čájánas	näyte	N	+?
čájeheaddji	esittävä (esim. taiteesta)	A	+?
čájus	näytös	N	N
čakčut	tulla syksyise(mmä)ksi	V	+?
čalas	kova (ja sileä)	A	+?
čálastat	viilto	N	N
čálekeahtes	kirjoittamaton	+?	+?
čáliheapmi	ilmoittautuminen	N	N
čálihit	kirjoituttaa& hakea avioliittokuulutus& viillättää& kirjoituttaa& hakea avioliittokuulutus& viillättää& kirjoituttaa& hakea avioliittokuulutus& viillättää	V	+?
čallidit	hekotella	V	V
čállu	kirjoitus	N	N
čámbokkal	ripsiäinen	N	N
čámsa	taimen (iso)	N	+?
čanas	side	N	+?
čanus	sidos	N	N
cápmašit	pehmitellä (kenkäheiniä tms.) vähin erin	V	+?
čáradit	erittää rasvaa (keitettävästä lihasta)	V	+?
čarkkistit	räkättää	V	V
čarkkus	vesipääsky	N	N
čárvá	koura& ote& koura& ote	N	+?
čáskat	sammua (ei yhtäkkiä)& vaimeta& sammua (ei yhtäkkiä)& vaimeta	V	+?
časkin-	časkinbárru: iskuaalto	+?	+?
čatnagasas	sidoksissa	+?	Adv
čatnagassii	sidoksiin	+?	Adv
čatnasmeahttun	sitoutumaton	A	+?
čatnašuvvat	sitoutua& joutua sidotuksi& liittyä& sitoutua& joutua sidotuksi& liittyä& sitoutua& joutua sidotuksi& liittyä	V	+?
čátná	(taula)kääpä	N	+?
čávdit	peittää (hiekkaan)	V	+?
čávgŋi	parsi (turvekodan katossa)	N	+?
cavkkihit	sammahtaa	V	V
čávvásit	hautautua (hiekkaan)& vyöryä (hiekasta)& hautautua (hiekkaan)& vyöryä (hiekasta)	V	+?
čávvat	valua (hiekasta)	V	+?
čázadat	sadeilma	+?	N
čáza	vety	N	N
čeabehastit	varustaa kauluksella	V	+?
čeabetnávdi	sieppuri	N	+?
ceagga	itsepäisyys	N	N
čeagŋi	matalajalka (eläimestä)	N	+?
čeagŋut	kyykistyä (usein)	Adv|V	+?
čeagŋut	kyykyssä	Adv|V	Adv
čeahborgi	puolipurka (lyhyehkö uusi karvoitus porolla)	N	+?
čeahcit	(vanhemman) veljen lapsi (sedälleen)	N	+?
ceahkkálagaid	asteittain	Adv	Adv
ceahkkálas	asteikko	A|N	N
čeahkut	ahmia	V	V
čeahpit	taitavasti	+?	Adv
čeahppivuohta	taitavuus	N	N
čeahppudit	tehdä taitavaksi	V	+?
čeahppulit	tulla (vähän) taitavammaksi	V	+?
čeakŋagit	kyykistyä	V	V
čeakŋas	kyykistelevä& matalajalkainen (eläimestä)& kyykistelevä& matalajalkainen (eläimestä)	A	+?
čeakŋuhit	liikkua kyykyssä	V	+?
čeaksa	satakerta (märehtijöillä)	N	+?
čeaktu	täysinäinen	A	A
čealluladdat	loikkia (tarmokkaasti)	V	+?
čeallulit	loikkia (nopeasti)& lähteä loikkimaan& loikkia (nopeasti)& lähteä loikkimaan	V	+?
čeallut	loikkia	V	V
čeargat	kinostaa (kovia kinoksia)	V	+?
čeargga	kinos	N	N
čeargganas	karjaisu& (ukkosen)jyrähdys& karjaisu& (ukkosen)jyrähdys	N	+?
čearggas	karjunta& (ukkosen) jyrinä& karjunta& (ukkosen) jyrinä	N	+?
čearggus	jännittävä	A	A
čearguladdat	karjahdella& jyrähdellä (kovasti)& karjahdella& jyrähdellä (kovasti)	V	+?
čeargulit	karjahtaa& jyrähtää (ukkosesta)& karjahtaa& jyrähtää (ukkosesta)	V	+?
čeargut	karjua& jyristä (ukkosesta)& karjua& jyristä (ukkosesta)	V	+?
čearidit	niittää (jäältä)	V	+?
čearpmahat	kermikäntalja	N	+?
čearrit	(lapin)tiira	N	+?
čearssistit	virnuilla	V	V
